"hafasId";"rmvId";"dhId";"hstName";"nameFahrPlan";"xIplWert";"yIplWert";"xWgs84";"yWgs84";"lno";"istBahnhof";"gueltigAb";"gueltigBis";"verbund1IstGleichRmv";"land";"rp";"landKreis";"gemeindeName";"ortsTeilName";"agsLand";"agsRp";"agsLk";"agsG";"agsOt"
"3000001";"1";"de:06412:1";"Hauptwache";"Frankfurt(M)Hauptwache";"3477111";"5553128";"8,67895093905754";"50,1139233066171";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Innenstadt";"06";"4";"12";"000";"802"
"3000002";"2";"de:06412:2";"Römer/Paulskirche";"Frankfurt (Main) Römer/Paulskirche";"3477328";"5552794";"8,68200458959544";"50,1109289337859";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Frankfurt-Altstadt";"06";"4";"12";"000";"801"
"3000003";"3";"de:06412:3";"Dom/Römer";"Frankfurt (Main) Dom/Römer";"3477477";"5552785";"8,68408811025014";"50,1108536970268";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Frankfurt-Altstadt";"06";"4";"12";"000";"801"
"3000004";"4";"de:06412:4";"Willy-Brandt-Platz";"Frankfurt (Main) Willy-Brandt-Platz";"3476747";"5552581";"8,67389531398782";"50,1089915523587";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Innenstadt";"06";"4";"12";"000";"802"
"3000007";"7";"de:06412:7";"Weser-/Münchener Straße";"Frankfurt (Main) Weser-/Münchener Straße";"3476488";"5552467";"8,67028172076798";"50,1079564723667";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Bahnhofsviertel";"06";"4";"12";"000";"803"
"3000008";"8";"de:06412:8";"Hauptbahnhof/Münchener Straße";"Hauptbahnhof/Münchener Straße, Frankfurt a.M.";"3476197";"5552354";"8,66622090605807";"50,106928987605";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Bahnhofsviertel";"06";"4";"12";"000";"803"
"3000009";"9";"de:06412:9";"Platz der Republik";"Frankfurt (Main) Platz der Republik";"3475852";"5552599";"8,66138278796028";"50,1091176304488";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000010";"10";"de:06412:10";"Hauptbahnhof";"Frankfurt (Main) Hbf";"3476023";"5552379";"8,66378705859587";"50,107146736638";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000011";"11";"de:06412:11";"Taunusanlage";"Frankfurt(M)Taunusanlage";"3476389";"5553091";"8,66885920005345";"50,1135623797759";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Innenstadt";"06";"4";"12";"000";"802"
"3000013";"13";"de:06412:13";"Roßmarkt";"Frankfurt (Main) Roßmarkt";"3476901";"5552973";"8,67602438497061";"50,1125216982644";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Innenstadt";"06";"4";"12";"000";"802"
"3000015";"15";"de:06412:15";"Heilbronner Straße";"Frankfurt (Main) Heilbronner Straße";"3475322";"5551781";"8,65402667764872";"50,1017419102543";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gutleutviertel";"06";"4";"12";"000";"810"
"3000016";"16";"de:06412:16";"Gutleut-/Heilbronner Straße";"Frankfurt (Main) Gutleut-/Heilbronner Straße";"3475337";"5551561";"8,65425054361373";"50,0997647057358";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gutleutviertel";"06";"4";"12";"000";"810"
"3000017";"17";"de:06412:17";"Hafenstraße";"Frankfurt (Main) Hafenstraße";"3475555";"5551935";"8,6572734780181";"50,1031360304488";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gutleutviertel";"06";"4";"12";"000";"810"
"3000018";"18";"de:06412:18";"Güterplatz";"Frankfurt (Main) Güterplatz";"3475447";"5552424";"8,65573245749132";"50,1075277422293";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000019";"19";"de:06412:19";"Speyerer Straße";"Frankfurt (Main) Speyerer Straße";"3475097";"5552207";"8,65085404841669";"50,1055623047115";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000025";"25";"de:06412:25";"Baseler Platz";"Frankfurt (Main) Baseler Platz";"3476093";"5552085";"8,66478397859152";"50,104506462669";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gutleutviertel";"06";"4";"12";"000";"810"
"3000028";"28";"de:06412:28";"Wasserweg";"Frankfurt (Main) Wasserweg";"3478240";"5552178";"8,69478929709956";"50,1054251473455";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Sachsenhausen-Nord";"06";"4";"12";"000";"813"
"3000029";"29";"de:06412:29";"Heister-/Siemensstraße";"Frankfurt (Main) Heister-/Siemensstraße";"3478283";"5552028";"8,6953988945289";"50,104078198883";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Sachsenhausen-Nord";"06";"4";"12";"000";"813"
"3000101";"101";"de:06412:101";"Galluswarte";"Frankfurt(M)Galluswarte";"3474657";"5552039";"8,64471480214472";"50,1040333423264";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000102";"102";"de:06412:102";"Schwalbacher Straße";"Frankfurt (Main) Schwalbacher Straße";"3474052";"5551850";"8,63627112494149";"50,1023080742748";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000103";"103";"de:06412:103";"Kriegkstraße";"Frankfurt (Main) Kriegkstraße";"3474310";"5551738";"8,63988478348877";"50,1013124029395";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000104";"104";"de:06412:104";"Galluspark";"Frankfurt (Main) Galluspark";"3474123";"5551625";"8,63727875513591";"50,1002883987795";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000105";"105";"de:06412:105";"Ordnungsamt";"Frankfurt (Main) Ordnungsamt";"3473863";"5551464";"8,6336558512254";"50,0988296017329";"TRAFFIQ";"0";"14.06.2009";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000106";"106";"de:06412:106";"Rebstöcker Straße";"Frankfurt (Main) Rebstöcker Straße";"3473511";"5551771";"8,62871493585014";"50,1015739631389";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
